Date,Open,High,Low,Close,Adj Close,Volume
03/03/2018,11101.90039,11528.2002,11002.40039,11489.7002,11489.7002,6690570240
04/03/2018,11497.40039,11512.59961,11136.09961,11512.59961,11512.59961,6084149760
05/03/2018,11532.40039,11704.09961,11443.90039,11573.29981,11573.29981,6468539904
06/03/2018,11500.09961,11500.09961,10694.29981,10779.90039,10779.90039,6832169984
07/03/2018,10803.90039,10929.5,9692.120117,9965.570313,9965.570313,8797910016
08/03/2018,9951.44043,10147.40039,9335.870117,9395.009766,9395.009766,7186089984
09/03/2018,9414.69043,9466.349609,8513.030273,9337.549805,9337.549805,8704190464
10/03/2018,9350.589844,9531.320313,8828.469727,8866,8866,5386319872
11/03/2018,8852.780273,9711.889648,8607.120117,9578.629883,9578.629883,6296370176
12/03/2018,9602.929688,9937.5,8956.429688,9205.120117,9205.120117,6457399808
13/03/2018,9173.040039,9470.379883,8958.19043,9194.849609,9194.849609,5991139840
14/03/2018,9214.650391,9355.849609,8068.589844,8269.80957,8269.80957,6438230016
15/03/2018,8290.759766,8428.349609,7783.049805,8300.860352,8300.860352,6834429952
16/03/2018,8322.910156,8585.150391,8005.310059,8338.349609,8338.349609,5289379840
17/03/2018,8321.910156,8346.530273,7812.819824,7916.879883,7916.879883,4426149888
18/03/2018,7890.52002,8245.509766,7397.990234,8223.679688,8223.679688,6639190016
19/03/2018,8344.120117,8675.870117,8182.399902,8630.650391,8630.650391,6729110016
20/03/2018,8619.669922,9051.019531,8389.889648,8913.469727,8913.469727,6361789952
21/03/2018,8937.480469,9177.370117,8846.330078,8929.280273,8929.280273,6043129856
22/03/2018,8939.44043,9100.709961,8564.900391,8728.469727,8728.469727,5530390016
23/03/2018,8736.25,8879.620117,8360.620117,8879.620117,8879.620117,5954120192
24/03/2018,8901.950195,8996.179688,8665.700195,8668.120117,8668.120117,5664600064
25/03/2018,8612.80957,8682.009766,8449.099609,8495.780273,8495.780273,4569880064
26/03/2018,8498.469727,8530.080078,7921.430176,8209.400391,8209.400391,5921039872
27/03/2018,8200,8232.780273,7797.279785,7833.040039,7833.040039,5378250240
28/03/2018,7836.830078,8122.890137,7809.169922,7954.47998,7954.47998,4935289856
29/03/2018,7979.069824,7994.330078,7081.379883,7165.700195,7165.700195,6361229824
30/03/2018,7171.450195,7276.660156,6683.930176,6890.52002,6890.52002,6289509888
31/03/2018,6892.47998,7207.850098,6863.52002,6973.529785,6973.529785,4553269760
01/04/2018,7003.060059,7060.950195,6526.870117,6844.22998,6844.22998,4532100096
02/04/2018,6844.859863,7135.470215,6816.580078,7083.799805,7083.799805,4333440000
03/04/2018,7102.259766,7530.939941,7072.490234,7456.109863,7456.109863,5499700224
04/04/2018,7456.410156,7469.879883,6803.879883,6853.839844,6853.839844,4936000000
05/04/2018,6848.649902,6933.819824,6644.799805,6811.470215,6811.470215,5639320064
06/04/2018,6815.959961,6857.490234,6575,6636.319824,6636.319824,3766810112
07/04/2018,6630.509766,7050.540039,6630.509766,6911.089844,6911.089844,3976610048
08/04/2018,6919.97998,7111.560059,6919.97998,7023.52002,7023.52002,3652499968
09/04/2018,7044.319824,7178.109863,6661.990234,6770.72998,6770.72998,4894060032
10/04/2018,6795.439941,6872.410156,6704.149902,6834.759766,6834.759766,4272750080
11/04/2018,6843.470215,6968.319824,6817.589844,6968.319824,6968.319824,4641889792
12/04/2018,6955.379883,7899.22998,6806.509766,7889.25,7889.25,8906250240
13/04/2018,7901.089844,8183.959961,7758.930176,7895.959961,7895.959961,7764460032
14/04/2018,7874.669922,8140.709961,7846,7986.240234,7986.240234,5191430144
15/04/2018,7999.330078,8338.419922,7999.330078,8329.110352,8329.110352,5244480000
16/04/2018,8337.570313,8371.150391,7925.72998,8058.669922,8058.669922,5631309824
17/04/2018,8071.660156,8285.959961,7881.720215,7902.089844,7902.089844,6900879872
18/04/2018,7944.430176,8197.799805,7886.009766,8163.419922,8163.419922,6529909760
19/04/2018,8159.27002,8298.69043,8138.779785,8294.30957,8294.30957,7063209984
20/04/2018,8286.879883,8880.230469,8244.540039,8845.830078,8845.830078,8438110208
21/04/2018,8848.790039,8997.570313,8652.150391,8895.580078,8895.580078,7548550144
22/04/2018,8925.05957,9001.639648,8779.610352,8802.459961,8802.459961,6629899776
23/04/2018,8794.389648,8958.549805,8788.80957,8930.879883,8930.879883,6925190144
24/04/2018,8934.339844,9732.610352,8927.830078,9697.5,9697.5,10678800384
25/04/2018,9701.030273,9745.320313,8799.839844,8845.740234,8845.740234,11083100160
26/04/2018,8867.320313,9281.509766,8727.089844,9281.509766,9281.509766,8970559488
27/04/2018,9290.629883,9375.469727,8987.049805,8987.049805,8987.049805,7566289920
28/04/2018,8939.269531,9412.089844,8931.990234,9348.480469,9348.480469,7805479936
29/04/2018,9346.410156,9531.490234,9193.709961,9419.080078,9419.080078,8853000192
30/04/2018,9426.110352,9477.139648,9166.80957,9240.549805,9240.549805,8673920000
01/05/2018,9251.469727,9255.879883,8891.049805,9119.009766,9119.009766,7713019904
02/05/2018,9104.599609,9256.519531,9015.139648,9235.919922,9235.919922,7558159872
